tenure,monthly_charges,support_tickets,usage,churn
11,684,9,2,1
16,1732,9,29,1
59,1521,3,40,1
70,1387,0,97,0
3,575,1,61,0
20,852,0,68,0
59,1491,5,68,0
36,748,2,29,0
19,1297,6,62,1
67,1731,4,60,1
19,272,8,84,1
20,507,6,41,1
71,398,3,87,0
52,1353,4,82,0
33,1981,4,89,1
40,771,4,65,0
39,990,9,64,1
1,1838,8,79,1
11,1710,9,63,1
57,1374,2,98,0
50,1892,5,48,1
23,1429,7,20,1
31,378,8,37,1
42,396,6,64,1
7,934,2,91,0
16,288,0,86,0
60,998,3,5,1
2,1657,5,34,1
1,987,2,39,0
48,947,0,67,0
12,1406,5,81,0
69,408,0,62,0
37,692,8,88,1
32,1353,0,24,0
9,864,5,3,1
19,1236,0,71,0
48,1857,6,89,1
3,1070,2,67,0
20,931,5,79,0
24,1329,6,93,1
54,1598,0,50,1
33,1805,0,29,1
24,1930,4,74,1
36,897,5,32,0
38,1322,8,87,1
25,793,0,39,0
18,1810,3,9,1
66,1085,9,14,1
54,1051,7,68,1
35,1415,9,64,1
61,524,8,20,1
41,1178,2,28,0
33,1949,1,14,1
68,1155,3,44,0
33,1690,1,98,1
14,1093,0,77,0
21,1590,2,95,1
48,1541,6,97,1
20,343,0,39,0
8,583,1,28,0
7,415,0,64,0
67,1584,7,89,1
17,523,4,32,0
33,1238,7,9,1
48,416,2,28,0
59,1715,6,95,1
22,1150,7,17,1
30,1770,5,87,1
38,382,6,77,1
51,469,1,55,0
54,1144,7,10,1
8,1690,4,80,1
27,1069,6,6,1
27,1835,0,48,1
21,1742,4,75,1
30,1765,0,67,1
28,666,7,92,1
64,504,3,41,0
69,1367,3,79,0
61,310,1,60,0
48,1213,4,77,0
19,431,0,42,0
4,1914,8,81,1
35,1807,4,71,1
64,1945,5,28,1
49,1955,1,13,1
17,1815,9,81,1
44,1723,9,15,1
30,794,0,36,0
46,1777,3,92,1
6,1496,6,15,1
37,1926,5,75,1
24,372,9,56,1
46,1172,0,95,0
53,1230,0,4,1
60,1378,7,99,1
63,1745,3,98,1
32,745,4,52,0
33,747,6,91,1
67,717,7,10,1
18,1113,9,94,1
25,414,6,45,1
54,333,1,84,0
58,484,3,29,0
67,1349,9,53,1
46,1662,0,29,1
24,885,9,23,1
32,1375,8,57,1
47,530,2,50,0
23,1761,2,21,1
66,1606,9,43,1
27,1338,8,10,1
2,1093,9,76,1
17,1705,2,30,1
33,1507,7,51,1
9,1098,1,33,0
43,1298,2,18,1
48,1389,1,78,0
39,1412,0,22,0
42,277,1,64,0
26,1146,7,21,1
50,1825,8,1,1
25,887,1,15,1
24,220,6,36,1
13,765,4,47,0
60,1407,2,54,0
7,1445,8,86,1
57,1026,5,32,0
36,1551,0,58,1
45,378,4,46,0
20,1335,6,54,1
65,1959,3,33,1
8,1949,7,39,1
16,1282,9,23,1
14,1550,4,43,1
15,1104,8,55,1
66,1844,8,2,1
32,868,8,66,1
63,390,0,38,0
51,1423,1,29,0
25,1535,2,67,1
58,907,3,71,0
63,1258,9,36,1
62,578,8,29,1
22,586,9,37,1
58,1981,5,87,1
58,436,0,45,0
49,815,8,16,1
52,1742,5,31,1
42,482,3,34,0
70,200,3,50,0
15,1954,2,65,1
54,663,6,82,1
60,1453,2,62,0
8,1166,1,43,0
53,371,9,56,1
60,1310,7,15,1
5,1776,3,48,1
68,1346,7,49,1
6,1042,0,81,0
47,1521,4,44,1
55,889,8,10,1
40,774,0,20,0
52,1707,3,70,1
16,364,5,8,1
13,1922,9,45,1
30,582,7,34,1
19,408,2,96,0
17,1962,4,51,1
63,1655,6,4,1
19,1612,0,39,1
58,1783,6,84,1
55,423,7,24,1
62,202,7,88,1
23,571,8,55,1
9,1910,5,26,1
12,1669,5,25,1
1,810,1,36,0
58,315,2,71,0
1,1493,3,74,0
34,646,3,58,0
48,1591,7,12,1
1,1476,0,1,1
16,1540,9,50,1
61,614,3,25,0
64,1318,3,80,0
63,1091,0,5,1
69,1247,2,83,0
22,1851,4,68,1
67,862,5,6,1
26,1273,8,26,1
16,1725,8,55,1
51,917,8,39,1
57,1721,0,9,1
29,1558,8,45,1
69,1302,7,14,1
47,1805,1,55,1
62,1250,0,9,1
69,470,0,15,1
16,761,5,37,0
48,1003,8,50,1
39,446,6,84,1
33,1999,4,72,1
23,1814,1,96,1
10,586,0,21,0
69,901,1,57,0
34,758,0,19,1
52,1172,2,93,0
10,1584,5,58,1
19,1183,7,95,1
58,1711,2,6,1
1,551,9,4,1
69,1924,8,43,1
4,1479,9,93,1
16,1445,4,42,0
24,952,6,3,1
2,980,7,1,1
32,1224,2,55,0
24,745,1,15,1
12,1669,1,47,1
50,278,4,85,0
35,1459,0,46,0
33,533,1,58,0
33,1088,8,95,1
61,1572,6,71,1
51,1321,5,81,0
43,1305,8,83,1
12,701,6,39,1
67,1700,4,3,1
65,1927,8,30,1
33,964,5,35,0
40,1120,5,57,0
43,749,3,29,0
44,213,0,50,0
29,591,4,62,0
13,1570,8,52,1
12,509,7,14,1
46,585,7,35,1
2,1432,4,28,0
35,1580,8,58,1
8,1173,2,30,0
26,1824,2,90,1
34,1791,0,7,1
7,1317,8,39,1
68,1316,5,95,0
58,539,1,69,0
29,796,7,35,1
36,1668,8,52,1
21,956,8,14,1
36,1245,1,63,0
10,490,1,36,0
24,1708,6,91,1
64,505,3,24,0
49,833,0,40,0
36,1351,7,29,1
24,824,1,53,0
23,1138,2,22,0
62,1496,4,72,0
37,1047,2,15,1
12,641,6,69,1
55,702,6,64,1
13,329,1,4,1
23,1355,6,75,1
30,796,5,18,1
17,1705,9,42,1
62,1061,8,30,1
13,1613,8,15,1
59,792,1,70,0
19,1198,6,55,1
49,524,4,53,0
12,1292,5,16,1
61,1883,0,73,1
19,647,6,34,1
9,1751,5,27,1
71,1018,3,13,1
28,1840,0,27,1
52,1388,8,73,1
16,1711,3,69,1
69,1936,1,86,1
12,908,7,31,1
25,1649,1,3,1
52,1920,4,30,1
53,464,5,21,0
23,811,7,99,1
16,1565,0,6,1
57,1031,0,92,0
39,1949,3,32,1
53,1501,4,42,1
42,873,8,62,1
58,1662,6,89,1
39,356,6,32,1
14,1645,7,99,1
5,450,4,86,0
35,1077,4,88,0
18,1832,0,39,1
9,729,8,64,1
58,526,5,30,0
17,1160,8,63,1
7,1094,2,96,0
46,296,4,31,0
13,712,1,87,0
40,415,9,40,1
42,1355,4,33,0
9,1483,7,63,1
50,324,1,25,0
27,1305,7,36,1
66,1506,3,24,1
5,1906,9,95,1
29,258,9,58,1
37,1767,0,39,1
38,360,4,46,0
8,483,0,77,0
65,305,6,10,1
17,1328,7,87,1
71,1662,2,82,1
45,427,2,32,0
4,1923,6,97,1
36,1805,3,36,1
70,517,2,28,0
31,1687,7,16,1
19,1001,2,16,1
61,1822,6,18,1
54,1073,1,8,1
39,671,0,80,0
19,1279,5,75,0
39,824,7,70,1
67,212,0,1,1
45,1663,9,62,1
13,1241,8,76,1
58,893,2,38,0
20,1172,2,92,0
61,312,3,45,0
39,428,0,58,0
1,370,8,81,1
3,494,2,1,1
62,388,9,32,1
63,625,3,8,1
25,1176,0,40,0
56,1302,3,56,0
33,857,0,63,0
38,1118,4,88,0
6,1405,4,74,0
58,698,6,74,1
44,961,7,36,1
45,1065,3,89,0
32,1025,6,57,1
45,1931,3,74,1
61,270,2,83,0
47,447,5,45,0
21,345,3,79,0
36,1841,2,80,1
19,1998,8,2,1
20,1519,4,93,1
57,781,6,68,1
18,669,5,50,0
47,1729,9,29,1
49,392,4,95,0
14,1291,6,81,1
15,693,5,10,1
31,251,9,27,1
1,1081,1,15,1
54,562,2,60,0
3,1116,1,31,0
16,673,2,21,0
57,720,0,60,0
12,1986,7,58,1
16,1654,5,41,1
24,1521,1,46,1
28,1658,7,45,1
8,1919,5,26,1
36,890,6,51,1
8,1421,0,36,0
58,1351,6,52,1
60,731,2,81,0
50,1634,7,51,1
28,1039,5,3,1
41,1288,3,14,1
64,1917,7,49,1
27,440,8,77,1
63,1592,9,91,1
17,735,1,1,1
33,1607,5,57,1
29,1654,4,17,1
13,282,4,50,0
46,1181,9,98,1
35,1920,2,14,1
6,1150,7,59,1
69,810,7,81,1
47,773,4,3,1
25,485,7,98,1
66,1188,9,40,1
10,1757,7,89,1
56,658,2,66,0
30,1435,1,34,0
5,325,8,90,1
33,1636,1,95,1
65,1722,8,9,1
18,624,3,94,0
49,753,1,84,0
11,809,9,21,1
26,1766,0,93,1
63,1381,3,25,0
59,311,8,44,1
27,601,8,25,1
49,1982,3,9,1
33,321,8,62,1
1,472,5,26,0
21,1517,0,57,1
55,597,9,37,1
6,670,5,16,1
69,1184,8,37,1
5,1430,1,76,0
3,1333,5,24,0
53,1663,1,26,1
23,1501,3,20,1
53,1791,7,9,1
37,768,6,87,1
17,1705,8,29,1
1,1337,6,31,1
51,1096,0,19,1
45,1019,1,20,0
4,1052,5,87,0
62,1700,6,27,1
65,909,2,94,0
32,520,8,85,1
34,378,6,44,1
39,1096,5,35,0
26,418,5,71,0
34,988,0,22,0
54,1751,4,74,1
3,691,9,87,1
50,260,2,15,1
12,1277,6,94,1
65,1903,9,98,1
54,737,2,13,1
5,1047,4,4,1
57,1187,6,82,1
17,264,2,56,0
47,1835,9,23,1
23,785,1,97,0
14,1927,5,98,1
66,370,7,34,1
51,1496,3,99,0
38,1922,8,17,1
64,734,7,28,1
38,1614,6,14,1
50,892,6,34,1
30,1550,2,75,1
51,307,5,57,0
63,1385,4,77,0
52,1013,0,97,0
38,1204,2,55,0
30,651,0,66,0
51,1429,3,98,0
5,789,9,93,1
29,1239,2,37,0
4,526,3,68,0
10,807,8,76,1
56,858,2,26,0
17,201,5,61,0
17,1233,5,92,0
69,633,6,67,1
34,324,8,84,1
6,1304,6,74,1
53,684,0,52,0
66,851,7,18,1
43,1373,4,53,0
23,999,8,63,1
55,1072,9,53,1
16,1563,4,27,1
8,328,4,31,0
4,637,1,91,0
4,950,2,1,1
56,700,9,6,1
25,1281,8,11,1
67,1421,6,34,1
67,410,0,84,0
27,1101,2,63,0
32,244,1,53,0
50,1320,0,85,0
61,1502,8,85,1
51,734,7,18,1
19,1633,4,21,1
21,660,1,19,1
5,590,0,4,1
42,1267,6,77,1
61,226,1,82,0
22,993,0,29,0
21,1320,1,25,0
70,1174,6,56,1
1,747,6,77,1
5,820,9,63,1
12,766,5,27,0
46,903,4,60,0
34,1442,2,83,0
49,384,2,49,0
45,1292,8,65,1
27,1353,3,38,0
26,1790,8,83,1
47,1832,3,52,1
56,1047,1,1,1
63,798,3,40,0
48,1005,5,81,0
61,1854,5,21,1
26,1943,4,86,1
36,1557,0,15,1
1,1377,2,50,0
8,1770,4,48,1
52,278,5,32,0
47,778,0,49,0
56,612,8,68,1
14,745,2,45,0
28,1832,9,32,1
2,368,2,4,1
26,880,1,65,0
14,1886,7,97,1
59,782,2,71,0
56,714,5,73,0
7,1537,1,65,1
3,231,6,80,1
23,486,3,18,1
18,793,8,54,1
38,1266,9,47,1
15,816,8,6,1
64,1224,6,66,1
28,1796,7,9,1
39,469,2,68,0
57,1403,4,23,0
17,1959,1,43,1
44,717,9,51,1
25,1326,6,72,1
17,1233,7,25,1
13,782,8,80,1
25,1313,6,35,1
68,425,9,17,1
10,869,9,18,1
67,1963,7,27,1
18,1116,8,15,1
34,325,5,81,0
8,1155,9,69,1
40,1432,1,80,0
42,1320,1,15,1
41,273,3,42,0
6,1850,8,34,1
52,1414,6,48,1
26,1905,1,83,1
64,1939,7,8,1
59,255,6,10,1
56,919,8,5,1
59,752,7,48,1
70,231,2,26,0
33,1750,0,86,1
53,773,1,23,0
22,866,1,62,0
21,483,3,13,1
70,1944,5,9,1
70,1717,3,20,1
4,386,8,92,1
62,697,3,57,0
62,1665,5,24,1
24,329,5,33,0
55,838,9,20,1
9,1515,9,60,1
3,313,0,48,0
31,1422,7,64,1
40,212,2,30,0
36,1494,5,73,0
24,1824,2,17,1
6,1438,1,14,1
66,643,4,19,1
4,1735,0,71,1
6,646,8,59,1
51,1185,6,67,1
62,1192,2,97,0
57,914,3,44,0
66,273,5,32,0
8,736,2,11,1
26,300,6,2,1
51,375,5,90,0
45,626,8,68,1
44,1340,4,17,1
5,1389,3,81,0
70,240,2,92,0
26,628,9,94,1
68,543,0,40,0
19,1647,2,87,1
20,565,2,46,0
12,1343,6,88,1
47,808,6,93,1
1,856,0,4,1
14,927,2,38,0
64,428,7,63,1
38,1024,8,29,1
37,1353,6,19,1
11,1575,6,91,1
3,1088,7,29,1
33,1541,5,35,1
6,1183,2,70,0
50,1872,0,23,1
10,1035,6,46,1
5,1560,0,44,1
23,1496,0,48,0
10,316,8,52,1
44,1017,9,8,1
2,567,6,55,1
13,1317,3,66,0
40,367,5,77,0
2,1153,0,40,0
65,1938,6,85,1
63,1564,5,31,1
17,860,3,48,0
9,894,6,61,1
15,1124,2,52,0
24,351,0,38,0
38,785,3,91,0
35,1112,2,36,0
49,473,0,87,0
69,1777,1,55,1
62,695,4,85,0
60,1947,7,13,1
50,300,0,37,0
9,756,3,47,0
34,1305,3,90,0
35,1752,4,71,1
1,272,6,22,1
40,1237,7,39,1
64,1656,5,87,1
22,356,0,58,0
60,934,6,30,1
64,331,2,18,1
11,1561,5,18,1
14,1218,7,74,1
60,1627,6,39,1
30,1599,9,94,1
35,758,5,26,0
37,306,8,71,1
5,1843,8,7,1
26,464,0,69,0
62,1428,0,65,0
4,1302,0,46,0
42,354,7,18,1
18,1187,9,13,1
40,1196,6,25,1
39,446,2,8,1
14,730,1,74,0
32,1057,3,32,0
51,737,2,17,1
38,928,6,79,1
23,1377,9,79,1
63,353,7,48,1
15,1909,5,63,1
25,291,2,40,0
17,1656,5,84,1
66,537,1,15,1
53,1703,6,99,1
51,1916,9,6,1
39,1354,6,94,1
51,649,3,63,0
70,1009,7,8,1
6,986,3,95,0
67,472,6,32,1
7,787,3,45,0
51,376,4,52,0
42,1919,6,79,1
64,1030,9,82,1
15,842,2,13,1
29,1272,9,24,1
33,766,4,40,0
27,865,2,14,1
36,1578,4,92,1
29,1935,2,75,1
38,1531,9,70,1
57,1067,6,62,1
27,1853,0,89,1
55,1998,8,61,1
33,1269,8,1,1
68,501,4,89,0
66,1067,8,66,1
10,1111,9,32,1
5,607,5,13,1
38,1412,4,33,0
13,1021,2,32,0
31,1352,7,56,1
47,760,3,24,0
52,1760,9,91,1
56,1489,2,4,1
15,1341,5,88,0
29,663,7,23,1
8,343,8,29,1
5,641,5,98,0
29,1423,4,21,0
47,1380,1,30,0
68,686,1,90,0
45,1059,8,20,1
2,1357,1,16,1
27,347,1,67,0
36,1559,2,49,1
36,1294,2,58,0
26,1456,3,44,0
43,1557,6,25,1
27,1010,8,23,1
69,865,1,59,0
20,289,3,1,1
11,1557,8,97,1
38,398,1,15,1
6,1384,9,81,1
23,737,0,98,0
47,1344,9,81,1
46,500,7,52,1
12,923,8,58,1
13,1798,6,41,1
62,1162,7,44,1
60,1659,3,4,1
43,267,3,77,0
68,1988,1,68,1
5,658,7,7,1
37,1737,1,46,1
31,597,8,9,1
9,819,3,87,0
51,1509,0,33,1
29,1784,3,33,1
40,1363,2,84,0
41,929,5,4,1
11,755,6,65,1
23,980,7,34,1
1,1813,1,91,1
46,1951,5,85,1
21,1093,5,88,0
36,809,9,79,1
54,947,4,99,0
57,481,9,64,1
1,860,9,25,1
63,1123,6,55,1
54,1195,2,9,1
55,1801,3,17,1
40,945,9,21,1
15,1680,8,60,1
21,286,3,13,1
47,1302,2,3,1
53,1428,1,68,0
9,990,4,4,1
52,1560,3,92,1
57,1477,7,7,1
26,503,6,26,1
41,1603,5,75,1
35,329,1,24,0
63,795,2,10,1
25,1499,9,13,1
38,1922,8,44,1
2,757,8,39,1
7,1098,4,19,1
34,1406,2,51,0
17,1491,1,19,1
43,1545,7,76,1
59,1735,5,52,1
51,1835,9,86,1
54,277,6,47,1
24,983,0,30,0
25,1562,0,46,1
71,873,9,76,1
52,1779,1,93,1
70,1732,9,21,1
33,437,2,75,0
49,1357,0,48,0
29,1415,4,62,0
63,1579,2,58,1
22,477,0,18,1
26,1241,7,59,1
28,723,5,91,0
49,379,8,48,1
71,322,2,63,0
49,1469,8,12,1
20,1957,8,87,1
63,1596,0,34,1
61,1274,2,61,0
49,1294,5,87,0
71,679,7,53,1
1,1783,3,25,1
13,1242,4,62,0
51,1997,8,4,1
56,283,5,94,0
62,1378,6,94,1
32,764,6,13,1
30,818,3,42,0
29,556,3,49,0
49,1015,3,78,0
45,846,4,56,0
30,642,4,47,0
16,1292,7,8,1
40,722,8,55,1
19,342,1,88,0
18,391,6,18,1
1,1610,0,35,1
47,577,0,89,0
66,780,3,81,0
38,734,9,32,1
51,1916,6,24,1
63,1516,1,7,1
4,1232,1,13,1
1,1494,0,91,0
8,1610,9,69,1
29,292,1,90,0
55,728,6,42,1
3,1377,8,31,1
32,604,5,74,0
10,1039,9,26,1
34,1372,1,86,0
55,1088,9,76,1
32,1490,9,32,1
50,621,8,91,1
7,1841,6,97,1
8,671,0,52,0
65,1092,8,20,1
57,746,1,40,0
67,830,3,59,0
59,1749,8,77,1
54,1726,3,14,1
67,1237,2,44,0
51,977,0,86,0
8,1875,6,82,1
34,563,5,48,0
35,318,9,93,1
32,1461,3,43,0
46,745,5,16,1
16,1392,5,35,0
68,721,3,53,0
37,833,5,34,0
54,1880,9,3,1
14,1162,7,68,1
55,1157,2,5,1
48,1958,3,10,1
7,1082,9,52,1
7,1992,0,29,1
33,979,3,96,0
23,1070,9,31,1
19,715,9,66,1
19,1137,8,76,1
36,1620,7,91,1
29,1065,3,69,0
60,305,6,37,1
2,1308,9,27,1
1,413,2,87,0
47,1344,8,33,1
69,1355,9,68,1
20,1049,3,59,0
11,396,1,64,0
2,218,9,85,1
67,841,4,88,0
12,1235,1,44,0
20,1304,9,95,1
5,529,5,88,0
37,1065,9,49,1
38,973,0,53,0
9,591,5,74,0
53,836,3,49,0
44,506,2,66,0
24,1490,1,95,0
30,1670,6,63,1
59,1664,8,25,1
14,1094,2,4,1
9,851,5,51,0
40,1040,8,11,1
66,1225,1,17,1
25,719,6,66,1
22,1985,4,70,1
4,1874,4,73,1
26,835,6,69,1
58,1532,8,84,1
29,939,3,29,0
37,1745,8,85,1
70,668,9,73,1
18,411,8,92,1
42,1335,3,72,0
41,1231,2,95,0
38,1003,1,20,0
34,676,8,27,1
17,1073,1,8,1
37,659,5,85,0
25,452,4,61,0
27,1749,4,28,1
57,951,3,87,0
31,1661,5,70,1
6,1977,4,3,1
40,1180,3,69,0
12,1053,8,73,1
53,1884,5,7,1
71,435,9,60,1
10,1529,9,4,1
45,677,9,5,1
17,878,2,11,1
26,1243,9,15,1
62,415,5,64,0
46,1054,0,98,0
64,334,4,13,1
2,1104,9,7,1
54,1352,5,6,1
65,609,7,56,1
51,1645,8,64,1
53,1517,2,50,1
36,1469,1,30,0
26,1924,3,22,1
29,1779,7,25,1
21,285,7,28,1
11,755,2,84,0
40,1598,3,39,1
11,1669,2,67,1
36,577,9,5,1
59,1613,1,65,1
39,1880,3,15,1
54,1274,5,90,0
55,441,4,67,0
24,1517,2,40,1
22,1119,1,98,0
69,1786,8,69,1
56,465,0,95,0
33,1343,8,77,1
36,911,0,43,0
20,1471,6,1,1
62,269,5,22,0
26,256,6,62,1
66,1605,2,79,1
40,238,2,26,0
17,1000,0,18,1
1,1666,3,48,1
61,1241,1,9,1
43,931,9,1,1
42,1024,7,9,1
25,955,2,23,0
39,551,6,45,1
35,1521,6,2,1
3,482,8,14,1
44,1809,5,38,1
51,309,0,40,0
12,1216,7,63,1
19,1403,0,82,0
44,743,2,16,1
59,1969,4,93,1
49,224,7,75,1
61,1042,8,6,1
17,990,6,3,1
57,937,8,14,1
55,256,2,66,0
47,379,4,96,0
12,431,9,95,1
62,542,7,75,1
8,676,0,86,0
21,775,7,67,1
70,654,6,31,1
25,1455,0,33,0
12,488,9,88,1
15,1436,9,1,1
59,457,5,44,0
26,729,0,15,1
26,886,1,37,0
47,1128,4,27,0
32,428,1,48,0
10,1449,9,27,1
16,795,0,12,1
71,634,5,67,0
17,1081,7,30,1
23,1220,7,96,1
26,1981,7,87,1
7,601,5,66,0
14,821,2,7,1
7,1989,0,34,1
9,287,1,32,0
48,783,4,39,0
59,1765,9,96,1
39,1907,4,43,1
18,508,9,43,1
59,1105,0,78,0
17,542,0,3,1
14,635,8,46,1
31,376,1,32,0
24,338,6,43,1
60,393,9,81,1
45,1409,3,3,1
3,1441,6,74,1
37,1387,7,63,1
43,1384,4,40,0
40,1142,0,18,1
55,724,3,67,0
39,1824,9,62,1
15,1265,2,10,1
4,1114,9,52,1
25,409,4,73,0
13,940,9,46,1
33,1061,9,55,1
16,1498,5,46,0
42,1153,1,75,0
66,1502,6,60,1
55,1474,2,97,0
42,1533,0,26,1
34,1943,9,27,1
30,1032,2,38,0
13,339,8,22,1
13,991,9,26,1
18,745,5,86,0
32,1216,5,69,0
39,1753,3,35,1
46,256,7,66,1
29,311,4,99,0
62,204,6,73,1
62,1633,8,51,1
57,1637,4,18,1
16,1405,4,43,0
56,1236,3,12,1
10,1562,5,3,1
30,1482,1,82,0
25,289,2,7,1
5,815,0,97,0
65,1090,1,6,1
49,897,1,82,0
3,1473,7,45,1
45,1478,7,86,1
14,1811,1,39,1
30,1097,5,51,0
68,1170,4,9,1
18,1331,2,99,0
62,867,4,23,0
37,793,4,12,1
25,788,4,88,0
48,684,2,62,0
65,1181,2,73,0
53,1171,3,77,0
15,1481,6,40,1
49,838,1,54,0
68,1196,9,81,1
12,481,3,7,1
59,1185,3,17,1
37,1311,0,50,0
61,1427,9,24,1
43,215,7,2,1
70,1374,0,99,0
39,1135,7,92,1
56,453,6,83,1
63,1411,8,33,1
46,528,7,21,1
11,743,4,74,0
62,982,7,53,1
25,1196,9,46,1
71,1620,2,45,1
52,1740,9,9,1
4,1682,6,6,1
59,1553,3,51,1
20,1044,4,35,0
63,1392,8,82,1
54,1916,6,53,1
57,565,3,19,1
41,1401,5,69,0
3,854,9,25,1
6,1585,6,11,1
5,959,9,74,1
5,838,8,17,1
54,1998,3,36,1
47,1263,9,90,1
49,1123,2,95,0
9,615,7,96,1
20,1578,0,21,1
61,454,8,18,1
35,1366,0,60,0
50,1975,1,18,1
62,1963,7,1,1
17,909,8,14,1
3,776,6,8,1
32,1099,2,66,0
13,210,6,51,1
68,1843,5,79,1
14,225,1,60,0
11,1156,2,34,0
56,620,9,36,1
67,1886,9,62,1
29,1444,4,1,1
9,695,9,85,1
67,1460,3,42,0
25,436,1,1,1
42,1208,3,96,0
9,418,7,84,1
40,1710,4,54,1
25,660,4,47,0
5,862,9,39,1
11,834,2,30,0
59,1367,7,7,1
38,1189,5,22,0
5,388,1,50,0
48,454,1,45,0
18,267,8,74,1
70,815,6,72,1
37,535,9,91,1
60,870,8,10,1
48,1020,5,14,1
28,1073,4,46,0
69,1632,0,75,1
40,499,5,6,1
45,1825,5,21,1
62,556,2,62,0
58,455,2,97,0
67,1207,2,19,1
56,552,2,88,0
40,1955,6,82,1
40,1744,9,99,1
33,723,1,62,0
6,1149,9,83,1
19,955,9,53,1
40,1917,1,24,1
59,483,2,56,0
59,1535,9,62,1
48,298,6,34,1
41,396,2,22,0
13,681,6,68,1
45,1077,8,57,1
53,1449,9,10,1
42,814,3,66,0
63,817,6,8,1
27,1588,8,97,1
38,567,7,38,1
60,769,7,62,1
7,789,8,28,1
5,1298,4,10,1
45,1265,4,45,0
58,621,2,65,0
31,1035,4,98,0
23,1404,7,67,1
42,744,4,9,1
10,270,3,5,1
32,1791,7,10,1
53,1328,6,12,1
30,1423,5,82,0
39,1324,4,58,0
31,967,4,21,0
2,506,9,21,1
12,1809,1,65,1
39,1906,3,3,1
66,576,7,69,1
13,854,7,89,1
46,877,0,64,0
27,598,1,49,0
17,1996,4,72,1
60,420,8,17,1
64,1818,9,73,1
35,381,6,32,1
70,506,9,70,1
30,721,4,21,0
71,1619,0,7,1
